"","Oil Supply Shock","Aggregate Demand Shock","Oil-specific Demand Shock","Other Shocks"
"1",3.91,10.38,9.27,76.44
"2",4.29,9.44,9.15,77.12
"3",8.07,8.53,10.34,73.06
"12",15.94,17.19,15,51.87
"Inf",3.79,67.58,11.48,17.15
