"","Oil Supply Shock","Aggregate Demand Shock","Oil-specific Demand Shock","Other Shocks"
"1",3.31,9.4,8.77,78.52
"2",3.64,8.97,8.96,78.44
"3",7.61,8.46,9.77,74.15
"12",15.02,17.8,14.52,52.66
"Inf",17.46,21.45,19.36,41.73
