"","Oil Supply Shock","Aggregate Demand Shock","Oil-specific Demand Shock","Other Shocks"
"1",2.08,5.02,0.45,92.45
"2",1.85,5.47,7.39,85.29
"3",2.83,6.38,10.23,80.56
"12",9.89,11.02,12.23,66.86
"Inf",15.1,17.08,18.5,49.32
