"","Oil Supply Shock","Aggregate Demand Shock","Oil-specific Demand Shock","Other Shocks"
"1",3.43,9.24,9.82,77.51
"2",3.38,8.93,9.77,77.91
"3",5.56,8.45,10.73,75.26
"12",13.89,17.64,15.65,52.82
"Inf",16.22,22.3,18.97,42.51
