date,rub_diff
2005-01-31,
2005-02-28,0.029999999999997584
2005-03-31,-0.34999999999999787
2005-04-30,0.1999999999999993
2005-05-31,0.10000000000000142
2005-06-30,0.5799999999999983
2005-07-31,0.19000000000000128
2005-08-31,-0.21000000000000085
2005-09-30,-0.120000000000001
2005-10-31,0.19000000000000128
2005-11-30,0.21000000000000085
2005-12-31,0.04999999999999716
2006-01-31,-0.3999999999999986
2006-02-28,-0.21000000000000085
2006-03-31,-0.3200000000000003
2006-04-30,-0.3099999999999987
2006-05-31,-0.5100000000000016
2006-06-30,-0.0799999999999983
2006-07-31,-0.05999999999999872
2006-08-31,-0.15000000000000213
2006-09-30,-0.030000000000001137
2006-10-31,0.120000000000001
2006-11-30,-0.23999999999999844
2006-12-31,-0.33000000000000185
2007-01-31,0.17999999999999972
2007-02-28,-0.129999999999999
2007-03-31,-0.23000000000000043
2007-04-30,-0.2699999999999996
2007-05-31,-0.019999999999999574
2007-06-30,0.10999999999999943
2007-07-31,-0.370000000000001
2007-08-31,0.07000000000000028
2007-09-30,-0.28999999999999915
2007-10-31,-0.4499999999999993
2007-11-30,-0.4200000000000017
2007-12-31,0.10000000000000142
2008-01-31,-0.07000000000000028
2008-02-29,0.030000000000001137
2008-03-31,-0.7699999999999996
2008-04-30,-0.25
2008-05-31,0.21999999999999886
2008-06-30,-0.08999999999999986
2008-07-31,-0.28999999999999915
2008-08-31,0.7799999999999976
2008-09-30,1.1500000000000021
2008-10-31,1.0700000000000003
2008-11-30,0.9599999999999973
2008-12-31,0.8200000000000003
2009-01-31,3.34
2009-02-28,4.289999999999999
2009-03-31,-1.0899999999999963
2009-04-30,-1.1099999999999994
2009-05-31,-1.5
2009-06-30,-1.0300000000000011
2009-07-31,0.48999999999999844
2009-08-31,0.10999999999999943
2009-09-30,-0.8200000000000003
2009-10-31,-1.3399999999999999
2009-11-30,-0.48999999999999844
2009-12-31,0.9600000000000009
2010-01-31,0.0
2010-02-28,0.25
2010-03-31,-0.6300000000000026
2010-04-30,-0.35999999999999943
2010-05-31,1.1500000000000021
2010-06-30,0.8200000000000003
2010-07-31,-0.490000000000002
2010-08-31,-0.33999999999999986
2010-09-30,0.5
2010-10-31,-0.5199999999999996
2010-11-30,0.6499999999999986
2010-12-31,-0.11999999999999744
2011-01-31,-0.7700000000000031
2011-02-28,-0.7899999999999991
2011-03-31,-0.8599999999999994
2011-04-30,-0.3299999999999983
2011-05-31,-0.23000000000000043
2011-06-30,0.10999999999999943
2011-07-31,-0.08000000000000185
2011-08-31,0.870000000000001
2011-09-30,1.7199999999999989
2011-10-31,0.860000000000003
2011-11-30,-0.490000000000002
2011-12-31,0.5899999999999999
2012-01-31,0.060000000000002274
2012-02-29,-1.6300000000000026
2012-03-31,-0.509999999999998
2012-04-30,0.09999999999999787
2012-05-31,1.1799999999999997
2012-06-30,2.259999999999998
2012-07-31,-0.4099999999999966
2012-08-31,-0.5300000000000011
2012-09-30,-0.4499999999999993
2012-10-31,-0.4299999999999997
2012-11-30,0.3200000000000003
2012-12-31,-0.6700000000000017
2013-01-31,-0.4799999999999969
2013-02-28,-0.10000000000000142
2013-03-31,0.6400000000000006
2013-04-30,0.5299999999999976
2013-05-31,-0.08999999999999986
2013-06-30,1.0400000000000027
2013-07-31,0.46000000000000085
2013-08-31,0.28000000000000114
2013-09-30,-0.39000000000000057
2013-10-31,-0.5700000000000003
2013-11-30,0.5799999999999983
2013-12-31,0.25
2014-01-31,0.5700000000000003
2014-02-28,1.759999999999998
2014-03-31,0.990000000000002
2014-04-30,-0.5500000000000043
2014-05-31,-0.7299999999999969
2014-06-30,-0.5200000000000031
2014-07-31,0.23000000000000398
2014-08-31,1.4699999999999989
2014-09-30,1.759999999999998
2014-10-31,2.8900000000000006
2014-11-30,5.100000000000001
2014-12-31,9.549999999999997
2015-01-31,6.290000000000006
2015-02-28,2.9299999999999926
2015-03-31,-4.399999999999999
2015-04-30,-7.359999999999999
2015-05-31,-2.289999999999999
2015-06-30,3.9200000000000017
2015-07-31,2.5700000000000003
2015-08-31,8.080000000000005
2015-09-30,1.6199999999999903
2015-10-31,-3.6999999999999957
2015-11-30,1.9600000000000009
2015-12-31,4.6299999999999955
2016-01-31,6.590000000000003
2016-02-29,0.9699999999999989
2016-03-31,-6.75
2016-04-30,-3.789999999999992
2016-05-31,-1.0200000000000102
2016-06-30,-0.3499999999999943
2016-07-31,-0.980000000000004
2016-08-31,0.5900000000000034
2016-09-30,-0.3200000000000074
2016-10-31,-1.9199999999999946
2016-11-30,1.6799999999999997
2016-12-31,-2.1799999999999997
2017-01-31,-2.219999999999999
2017-02-28,-1.5700000000000003
2017-03-31,-0.28999999999999915
2017-04-30,-1.6700000000000017
2017-05-31,0.740000000000002
2017-06-30,0.6499999999999986
2017-07-31,1.8500000000000014
2017-08-31,-0.020000000000003126
2017-09-30,-1.9600000000000009
2017-10-31,0.03999999999999915
2017-11-30,1.1900000000000048
2017-12-31,-0.3299999999999983
2018-01-31,-1.8100000000000023
2018-02-28,0.030000000000001137
2018-03-31,0.21999999999999886
2018-04-30,3.3999999999999986
2018-05-31,1.7800000000000011
2018-06-30,0.5
2018-07-31,0.1700000000000017
2018-08-31,3.210000000000001
2018-09-30,1.5600000000000023
2018-10-31,-1.7600000000000051
2018-11-30,0.3499999999999943
2018-12-31,1.0600000000000023
2019-01-31,0.03280000000000882
2019-02-28,-1.4735000000000014
2019-03-31,-0.7164000000000073
2019-04-30,-0.5258999999999929
2019-05-31,0.19819999999999993
2019-06-30,-0.5906000000000091
2019-07-31,-1.026299999999992
2019-08-31,2.329499999999996
2019-09-30,-0.5482999999999976
2019-10-31,-0.6256000000000057
2019-11-30,-0.4888999999999939
2019-12-31,-0.9294000000000011
2020-01-31,-1.1548000000000016
2020-02-29,2.0968000000000018
2020-03-31,9.270399999999995
2020-04-30,2.0688999999999993
2020-05-31,-2.6058999999999912
2020-06-30,-3.3893000000000058
2020-07-31,2.0608000000000004
2020-08-31,2.514499999999998
2020-09-30,1.8543000000000092
2020-10-31,1.9373999999999967
2020-11-30,-0.5557000000000016
2020-12-31,-2.982600000000005
2021-01-31,0.17430000000000234
2021-02-28,0.1547000000000054
2021-03-31,0.029899999999997817
2021-04-30,1.683099999999996
2021-05-31,-2.0503999999999962
2021-06-30,-1.533699999999996
2021-07-31,1.4090999999999951
2021-08-31,-0.32450000000000045
2021-09-30,-0.7018999999999949
