TRADEDATE,consumer,metals_mining,oil_gas,consumer_log_return,metals_mining_log_return,oil_gas_log_return
2012-12-13,4861.09,2828.26,3266.05,0.007279951878361501,-0.007920435981816354,4.6856553960772374e-4
2012-12-14,4895.94,2853.98,3277.53,0.007143597632142118,0.009052829748096514,0.003508786254030838
2012-12-17,4935.09,2879.06,3282.3,0.007964619568245013,0.008749340660908267,0.0014543062368126414
2012-12-18,5044.17,2910.21,3295.07,0.021862211143501398,0.010761391545570653,0.0038830158696558925
2012-12-19,5004.39,2918.46,3294.67,-0.007917593727155392,0.00283083636897441,-1.2140084449185906e-4
2012-12-20,5028.85,2924.69,3314.13,0.004875802524049178,0.0021324122641876997,0.00588913456072504
2012-12-21,4978.54,2910.44,3295.91,-0.01005465437932962,-0.004884219658693567,-0.005512839905435385
2012-12-24,4941.28,2884.27,3295.32,-0.0075122684137305384,-0.00903243748967153,-1.7902576653305857e-4
2012-12-25,4937.71,2905.56,3295.24,-7.227459801875113e-4,0.007354307797366566,-2.427714792219149e-5
2012-12-26,4903.84,2914.99,3317,-0.006883089294113631,0.003240246454585538,0.006581757030199142
2012-12-27,4949.63,2911.64,3310.58,0.009294254637868704,-0.0011498929463957808,-0.0019373593402249867
2012-12-28,4973.47,2908.55,3306.49,0.004804959310581225,-0.0010618211056074855,-0.0012361968426688463
2013-01-08,5097.12,3016,3366.66,0.02455788871880671,0.03627677493287429,0.018033951197102382
2013-01-09,5156.55,3018.9,3365.13,0.011592076885031943,9.61076479550016e-4,-4.545596420406639e-4
2013-01-10,5118.38,3035.94,3327.73,-0.007429768492142941,0.0056285698669853446,-0.011176205477013923
2013-01-11,5125.9,3026.5,3322.13,0.0014681366285849151,-0.0031142601426399352,-0.0016842463822648313
2013-01-14,5193.17,3059.05,3352.62,0.013038181339267041,0.010697573896433,0.009135986238741012
2013-01-15,5202.96,3036.3,3323.06,0.0018833937039843818,-0.007464741365209804,-0.008856084533576336
