"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2017","2,064.31","2,077.16","2,106.49","2,038.26","","-0.62%"
"09/01/2017","2,077.19","2,021.93","2,086.65","1,992.68","","2.72%"
"08/01/2017","2,022.22","1,924.77","2,030.86","1,921.34","","5.35%"
"07/01/2017","1,919.53","1,886.72","1,972.49","1,881.98","","2.13%"
"06/01/2017","1,879.50","1,900.89","1,904.82","1,774.56","","-1.10%"
"05/01/2017","1,900.38","2,022.19","2,044.24","1,893.39","","-5.77%"
"04/01/2017","2,016.71","1,998.55","2,058.11","1,900.72","","1.04%"
"03/01/2017","1,995.90","2,034.28","2,076.71","1,965.23","","-1.96%"
"02/01/2017","2,035.77","2,219.19","2,236.80","2,027.05","","-8.19%"
"01/01/2017","2,217.39","2,231.52","2,293.99","2,136.35","","-0.69%"
"12/01/2016","2,232.72","2,110.69","2,258.10","2,110.69","","6.07%"
"11/01/2016","2,104.91","1,991.70","2,116.38","1,939.66","","5.79%"
"10/01/2016","1,989.64","1,981.02","2,006.66","1,946.78","","0.59%"
"09/01/2016","1,978.00","1,976.26","2,063.13","1,967.31","","0.33%"
"08/01/2016","1,971.59","1,950.49","1,999.14","1,902.74","","1.39%"
"07/01/2016","1,944.62","1,891.03","1,959.86","1,860.55","","2.83%"
"06/01/2016","1,891.09","1,899.14","1,960.75","1,841.73","","-0.42%"
"05/01/2016","1,899.01","1,932.92","1,957.18","1,861.64","","-2.77%"
"04/01/2016","1,953.05","1,860.53","1,976.69","1,833.61","","4.38%"
"03/01/2016","1,871.15","1,841.43","1,923.50","1,825.99","","1.68%"
"02/01/2016","1,840.17","1,785.01","1,841.56","1,688.06","","3.10%"
"01/01/2016","1,784.92","1,761.42","1,788.29","1,583.02","","1.34%"
"12/01/2015","1,761.36","1,771.05","1,798.91","1,698.90","","-0.55%"
"11/01/2015","1,771.05","1,710.90","1,873.53","1,701.25","","3.48%"
"10/01/2015","1,711.53","1,644.52","1,746.67","1,603.46","","4.17%"
"09/01/2015","1,642.97","1,705.81","1,740.22","1,606.83","","-5.20%"
"08/01/2015","1,733.17","1,668.13","1,733.17","1,603.72","","3.84%"
"07/01/2015","1,669.00","1,654.57","1,669.00","1,570.46","","0.87%"
"06/01/2015","1,654.55","1,610.07","1,679.42","1,610.07","","2.82%"
"05/01/2015","1,609.19","1,689.55","1,734.34","1,609.19","","-4.69%"
"04/01/2015","1,688.34","1,625.21","1,712.91","1,613.77","","3.82%"
"03/01/2015","1,626.18","1,759.25","1,825.94","1,569.61","","-7.55%"
"02/01/2015","1,758.97","1,647.74","1,848.15","1,616.27","","6.75%"
"01/01/2015","1,647.69","1,394.66","1,706.39","1,390.53","","17.98%"
"12/01/2014","1,396.61","1,532.89","1,623.02","1,309.60","","-8.94%"
"11/01/2014","1,533.68","1,488.15","1,548.17","1,471.25","","3.04%"
"10/01/2014","1,488.47","1,410.33","1,488.47","1,354.60","","5.49%"
"09/01/2014","1,411.07","1,401.34","1,483.66","1,386.31","","0.74%"
"08/01/2014","1,400.71","1,378.03","1,469.44","1,306.80","","1.53%"
"07/01/2014","1,379.61","1,476.28","1,532.08","1,356.62","","-6.55%"
"06/01/2014","1,476.38","1,432.67","1,519.09","1,432.67","","3.10%"
"05/01/2014","1,432.03","1,304.93","1,456.70","1,289.80","","9.65%"
"04/01/2014","1,306.01","1,369.32","1,382.08","1,260.39","","-3.53%"
"03/01/2014","1,353.79","1,438.02","1,438.02","1,182.86","","-6.29%"
"02/01/2014","1,444.71","1,453.55","1,518.13","1,426.29","","-0.67%"
"01/01/2014","1,454.45","1,504.14","1,511.70","1,444.39","","-3.30%"
"12/01/2013","1,504.08","1,479.32","1,510.90","1,425.31","","1.67%"
"11/01/2013","1,479.35","1,509.58","1,521.02","1,464.59","","-2.04%"
"10/01/2013","1,510.21","1,462.82","1,538.75","1,449.76","","3.24%"
"09/01/2013","1,462.82","1,364.75","1,501.32","1,364.27","","7.19%"
"08/01/2013","1,364.65","1,376.31","1,425.10","1,353.71","","-0.81%"
"07/01/2013","1,375.79","1,330.46","1,439.60","1,319.81","","3.41%"
"06/01/2013","1,330.46","1,350.17","1,358.05","1,271.39","","-1.46%"
"05/01/2013","1,350.17","1,385.88","1,453.69","1,340.39","","-2.58%"
"04/01/2013","1,385.88","1,438.84","1,442.70","1,320.73","","-3.66%"
"03/01/2013","1,438.57","1,486.06","1,516.49","1,407.22","","-3.19%"
"02/01/2013","1,486.04","1,546.52","1,555.83","1,481.11","","-3.93%"
"01/01/2013","1,546.76","1,474.73","1,566.42","1,474.73","","4.88%"
"12/01/2012","1,474.72","1,405.97","1,490.51","1,403.70","","4.89%"
"11/01/2012","1,405.97","1,425.71","1,453.47","1,360.07","","-1.38%"
"10/01/2012","1,425.70","1,458.30","1,492.01","1,419.66","","-2.23%"
"09/01/2012","1,458.26","1,422.90","1,541.70","1,420.32","","2.48%"
"08/01/2012","1,422.91","1,407.01","1,470.75","1,386.94","","1.13%"
"07/01/2012","1,407.02","1,387.52","1,458.46","1,353.58","","1.41%"
"06/01/2012","1,387.52","1,306.43","1,397.34","1,278.56","","6.21%"
"05/01/2012","1,306.42","1,473.50","1,489.92","1,241.58","","-11.11%"
"04/01/2012","1,469.65","1,517.33","1,556.53","1,439.92","","-3.14%"
"03/01/2012","1,517.34","1,597.67","1,639.63","1,486.93","","-5.03%"
"02/01/2012","1,597.67","1,514.02","1,607.69","1,504.13","","5.52%"
"01/01/2012","1,514.03","1,402.25","1,519.55","1,401.21","","7.97%"
"12/01/2011","1,402.23","1,499.62","1,523.80","1,323.20","","-6.49%"
"11/01/2011","1,499.62","1,498.56","1,535.83","1,363.28","","0.07%"
"10/01/2011","1,498.60","1,366.45","1,552.13","1,242.75","","9.66%"
"09/01/2011","1,366.54","1,546.05","1,559.51","1,279.23","","-11.61%"
"08/01/2011","1,546.05","1,705.22","1,741.71","1,355.38","","-9.33%"
"07/01/2011","1,705.18","1,666.53","1,748.32","1,656.21","","2.32%"
"06/01/2011","1,666.59","1,666.84","1,704.60","1,601.12","","0.02%"
"05/01/2011","1,666.30","1,741.82","1,747.22","1,569.54","","-4.34%"
"04/01/2011","1,741.84","1,813.59","1,865.30","1,707.65","","-3.96%"
"03/01/2011","1,813.59","1,777.84","1,820.16","1,681.08","","2.01%"
"02/01/2011","1,777.84","1,723.45","1,780.39","1,673.95","","3.16%"
"01/01/2011","1,723.42","1,688.00","1,788.74","1,687.15","","2.10%"
"12/01/2010","1,687.99","1,565.60","1,702.64","1,565.60","","7.82%"
"11/01/2010","1,565.52","1,523.40","1,597.51","1,515.13","","2.77%"
"10/01/2010","1,523.39","1,440.30","1,538.43","1,436.32","","5.77%"
"09/01/2010","1,440.30","1,368.93","1,452.21","1,364.59","","5.22%"
"08/01/2010","1,368.90","1,397.15","1,433.63","1,328.17","","-2.02%"
"07/01/2010","1,397.12","1,309.31","1,425.01","1,253.45","","6.71%"
"06/01/2010","1,309.31","1,332.62","1,407.95","1,289.05","","-1.75%"
"05/01/2010","1,332.62","1,436.04","1,448.67","1,194.92","","-7.20%"
"04/01/2010","1,436.04","1,450.16","1,539.65","1,424.25","","-0.97%"
"03/01/2010","1,450.15","1,332.97","1,461.89","1,332.97","","9.55%"
"02/01/2010","1,323.72","1,419.42","1,455.51","1,294.21","","-6.74%"
"01/01/2010","1,419.42","1,370.30","1,491.36","1,363.03","","3.61%"
"12/01/2009","1,370.01","1,284.99","1,412.27","1,284.99","","6.62%"
"11/01/2009","1,284.95","1,237.06","1,391.79","1,203.11","","3.86%"
"10/01/2009","1,237.18","1,197.39","1,388.79","1,144.83","","3.34%"
"09/01/2009","1,197.20","1,092.04","1,241.14","1,069.83","","9.64%"
"08/01/2009","1,091.98","1,053.33","1,135.84","1,013.79","","3.67%"
"07/01/2009","1,053.30","971.55","1,057.41","852.03","","8.41%"
"06/01/2009","971.55","1,123.40","1,226.65","881.71","","-13.52%"
"05/01/2009","1,123.38","920.38","1,125.72","920.35","","22.06%"
"04/01/2009","920.35","772.93","942.63","758.09","","19.07%"
"03/01/2009","772.93","666.02","870.45","638.42","","16.05%"
"02/01/2009","666.05","624.86","743.34","602.68","","6.59%"
"01/01/2009","624.90","635.40","671.61","534.70","","0.87%"
"12/01/2008","619.53","611.33","676.24","538.12","","1.34%"
"11/01/2008","611.32","769.34","871.52","503.54","","-16.48%"
"10/01/2008","731.96","1,027.71","1,052.27","493.61","","-28.77%"
"09/01/2008","1,027.66","1,348.90","1,381.00","788.34","","-23.82%"
"08/01/2008","1,348.92","1,495.26","1,504.72","1,238.94","","-9.79%"
"07/01/2008","1,495.33","1,753.67","1,759.97","1,416.17","","-14.73%"
"06/01/2008","1,753.67","1,925.24","1,932.01","1,725.50","","-8.91%"
"05/01/2008","1,925.24","1,694.37","1,966.32","1,682.11","","15.47%"
"04/01/2008","1,667.35","1,628.43","1,717.74","1,615.79","","2.39%"
"03/01/2008","1,628.43","1,660.39","1,698.41","1,550.74","","-1.93%"
"02/01/2008","1,660.42","1,574.33","1,746.95","1,549.56","","5.47%"
"01/01/2008","1,574.33","1,888.86","1,942.36","1,509.13","","-16.65%"
"12/01/2007","1,888.86","1,850.71","1,970.46","1,832.00","","2.07%"
"11/01/2007","1,850.64","1,875.11","1,933.20","1,761.61","","-1.28%"
"10/01/2007","1,874.73","1,759.44","1,885.10","1,724.32","","6.55%"
"09/01/2007","1,759.44","1,677.02","1,763.33","1,630.83","","4.91%"
"08/01/2007","1,677.02","1,734.41","1,736.66","1,567.40","","-3.31%"
"07/01/2007","1,734.42","1,665.96","1,817.58","1,665.28","","4.11%"
