date,consumer,metals_mining,oil_gas,consumer_log_return,metals_mining_log_return,oil_gas_log_return
2004-12-01,1000,1000,1000,NA,NA,NA
2005-01-01,1053.33,1070.04,1085.07,0.05195657436874157,0.06769603095265175,0.08164450104037968
2005-02-01,1306.76,1229.23,1203.26,0.21559421678604984,0.13869192614151693,0.10339003895101673
2005-03-01,1371.38,1165.11,1138.42,0.04826674096983474,-0.053572453932990705,-0.05539320383499824
2005-04-01,1323.28,1108.74,1130.38,-0.03570402917279747,-0.04959126772592537,-0.007087476776825419
2005-05-01,1570.64,1160.66,1134.91,0.17136967665652847,0.04576457340075191,0.0039994932555815765
2005-06-01,1655.81,1219.73,1276.42,0.052807135472710875,0.04964071394075287,0.11750593173329626
2005-07-01,1697.83,1375.63,1413.83,0.02506065001033786,0.12028228522672091,0.10224304956982344
2005-08-01,2038.69,1428.22,1607.76,0.18295647963094552,0.03751710567229072,0.12853957194771137
2005-09-01,2280.65,1584.42,1861.09,0.11215304533351489,0.10378949608516663,0.14632043170095343
2005-10-01,2182.11,1466.79,1767.09,-0.04416819145002471,-0.07714207013118113,-0.051828211760382104
2005-11-01,2418.86,1671.62,1899.99,0.10300405619219433,0.1307168764751232,0.07251449717409297
2005-12-01,2418.32,1745.96,1919.53,-2.2327058420046342e-4,0.043511331542660514,0.010231741406003358
2006-01-01,2610.52,1727.39,2392.48,0.07647635099284056,-0.010692948847369266,0.2202501204467433
2006-02-01,2652.51,1789.14,2624.61,0.01595692632049417,0.03512345867351563,0.09260182872379197
2006-03-01,2732.26,1868.09,2714.21,0.02962274402796794,0.04318146104387388,0.03356862140803152
2006-04-01,2704.61,2345.39,3014.04,-0.010171381100429144,0.22753518085313296,0.10478043653115243
2006-05-01,2523.32,2193.02,2513.03,-0.06938222970327335,-0.06717211004948531,-0.18179217510337153
2006-06-01,2258.41,2300.47,2564.43,-0.11091446889052925,0.047833860563812,0.02024703529249372
2006-07-01,2360.49,2386.19,2655.34,0.04420819874372928,0.036584501802206404,0.0348364750530461
2006-08-01,2661.2,2356.51,2673.74,0.11990792428095975,-0.012516240732996842,0.006905534583492745
2006-09-01,2725.17,2273.65,2472.76,0.023753662604829806,-0.03579524128009659,-0.07814330563191962
2006-10-01,2735.55,2493.56,2595.32,0.003801701058389284,0.09232493860307311,0.04837488737069506
2006-11-01,2808.77,2577.82,2749.83,0.026414152548487557,0.03323267223504622,0.05782926850503056
2006-12-01,3061.27,2645.97,2837.49,0.08608319744448689,0.026093647247758867,0.03138076698639658
2007-01-01,3035.01,2748.53,2606.08,-0.008615143142838733,0.03802849554357035,-0.08507268195243345
2007-02-01,3097.23,2912.07,2502.31,0.02029344425272228,0.057797945203479806,-0.040632871370866575
2007-03-01,3333.18,3010.8,2557.34,0.07341863961623041,0.033341655671180526,0.02175335054286265
2007-04-01,3429.14,2893.27,2449.98,0.028382697609234953,-0.039818473814588806,-0.04288779453378844
2007-05-01,3223.98,2720.68,2221.72,-0.06169287972594262,-0.061505501300537446,-0.09779819058208705
2007-06-01,3363.6,2943.7,2305.39,0.04239520782541106,0.0787854444372238,0.03696818885738651
2007-07-01,3419.87,3165.22,2418.78,0.016590709679539017,0.07255526994863715,0.048013421286502656
2007-08-01,3343.84,3089.24,2341.29,-0.022482691468340477,-0.024297457483692497,-0.03256122129904604
2007-09-01,3243.6,3419.98,2462.51,-0.030436023099539966,0.1017095971389157,0.050479095448801026
2007-10-01,3353.98,3834.23,2602.61,0.03346387626575442,0.11433392928698538,0.05533363269510616
2007-11-01,3305.25,3757.42,2591.87,-0.014635586945949797,-0.02023608072467198,-0.004135164753402698
2007-12-01,3488.09,3850.39,2736.48,0.053842195058072306,0.024441890204114358,0.05429280005797388
2008-01-01,3197.35,3555.29,2216.83,-0.08703196674539271,-0.0797378066963681,-0.21059417547361292
2008-02-01,3262.48,4119.22,2410.75,0.020165300641073358,0.14722718987546202,0.08385965491272529
2008-03-01,3073.6,3726.15,2472.05,-0.05963812932966661,-0.1002882960316871,0.025109863519751308
2008-04-01,3031.02,4039.28,2537.95,-0.013950316495909831,0.08069092925056154,0.02630890261841401
2008-05-01,3226.94,4319.55,3094.21,0.06263512324017917,0.06708477189503448,0.1981759546042312
2008-06-01,3106.66,4197.96,2871.77,-0.03798612567208437,-0.028552537157413127,-0.07460405873709508
2008-07-01,2857.76,3351.18,2405.27,-0.08351009293030387,-0.22528617038479481,-0.17726640104503577
2008-08-01,2654.55,3027.15,2161.48,-0.0737629523708696,-0.10169093979572352,-0.10686899111956105
2008-09-01,2258.4,2238.96,1663.3,-0.1616185508460246,-0.3016101104870188,-0.261989591434709
2008-10-01,1273.79,1200.73,1247.54,-0.5726598895588149,-0.6230817671711044,-0.28762996855660194
2008-11-01,1068.99,1014.47,1100.31,-0.1752824309361234,-0.16856339653842678,-0.12558165397489152
2008-12-01,1034.41,1156.56,1120.25,-0.03288306159336063,0.13108377338890342,0.017959916401256493
2009-01-01,1034.87,1304.24,1218.25,4.445990949282219e-4,0.12017041363121184,0.08386352805736319
2009-02-01,1178.07,1545.32,1382.86,0.12960169125058574,0.1696105129952148,0.12673841560526178
2009-03-01,1333.86,1697.25,1518.96,0.1241994882454609,0.09377828555514256,0.09387207180628199
2009-04-01,1914.56,1991.12,1852.37,0.36141083675971153,0.15968800028669516,0.19844001013407464
2009-05-01,2229.07,2491.23,2245.04,0.15209662690823755,0.22407926992798366,0.1922574381203308
2009-06-01,2201.15,2321.02,1939.44,-0.012604507065079318,-0.07076982018368216,-0.14632406679626264
2009-07-01,2263.16,2701.54,2059.76,0.027782115696559195,0.15181523655068307,0.060190199548737944
2009-08-01,2521.38,2819.78,2118.75,0.10804430392311204,0.04283688694106136,0.02823682098672009
2009-09-01,2924.24,3192.16,2248.17,0.14822824718021277,0.12403893592225401,0.059290259801364265
2009-10-01,2868.66,3213.24,2307.09,-0.01918959607700277,0.006581970244743829,0.025870438186204048
2009-11-01,3085.07,3411.8,2401.99,0.07272932575195945,0.05996023737492351,0.04031057031759833
2009-12-01,3308.91,3610.78,2535.43,0.07004448248264872,0.05668380422350161,0.05406568745316953
2010-01-01,3553.99,4087.13,2567.08,0.07145208597731667,0.12391919676074181,0.0124058182822262
2010-02-01,3784.51,4115.67,2422.46,0.06284550412308221,0.006958627581983734,-0.0579855134086289
2010-03-01,4206.84,4621.14,2640.81,0.1057953519129029,0.11583978807131601,0.08630213550241361
2010-04-01,4178.97,4592.58,2645.69,-0.006646967344366317,-0.006199470240360938,0.0018462125739615587
2010-05-01,3832.62,4220.59,2486.64,-0.08651616226086567,-0.08446702895957081,-0.061999499225462884
2010-06-01,3900.96,3944.98,2436.61,0.017674034262620708,-0.06753104412539912,-0.020324672620265716
2010-07-01,4104.11,4150.99,2615.51,0.05076623393731161,0.050902975433446684,0.07085137817275111
2010-08-01,4136.95,4220.79,2517.82,0.007969890725362916,0.016675454309005744,-0.038065659420793097
2010-09-01,4516.64,4738.76,2625.46,0.08780955322758821,0.11575318378837984,0.041862671025262976
2010-10-01,5028.09,4793.42,2731.27,0.10727183574800847,0.011468646021604911,0.039510583702990765
2010-11-01,5385.67,5210.63,2764.65,0.06870153222403452,0.08345662563113443,0.012147342194189115
2010-12-01,6127.99,5887.72,2981.75,0.12912507802999862,0.12216805618793991,0.0755963317930366
2011-01-01,6078.98,5769.64,3096.82,-0.008029881836804975,-0.02025913905554866,0.03786540206332134
2011-02-01,5996.13,5706.39,3375.08,-0.013722657620300893,-0.011023087330638504,0.08604324920730733
2011-03-01,5768.79,5690.48,3381.68,-0.03865190796992124,-0.0027919964578337897,0.0019535996836061997
2011-04-01,5439.14,5430.45,3253.62,-0.058841393020850674,-0.04677259966373448,-0.03860440480176308
2011-05-01,5380.56,5284.5,3087.97,-0.0108285021591783,-0.027243995972984436,-0.052254305539680246
2011-06-01,5290.31,5133.04,3087.57,-0.016915612688672255,-0.029079931205650666,-1.2954332756720532e-4
2011-07-01,5417.9,5078.13,3200.15,0.023831441209924975,-0.010754992676648811,0.03581330994521714
2011-08-01,4644.33,4473.02,2934.38,-0.15406116575480056,-0.12687928787217473,-0.0867014963536814
2011-09-01,4337.7,3562.3,2704.86,-0.0683028670225152,-0.2276573920448275,-0.08144603240173787
2011-10-01,4577.7,3859.54,2977.86,0.05385243486360913,0.08014160172289309,0.09615476678802448
2011-11-01,4427.28,3504,3133.79,-0.03341128858436626,-0.09664283231671256,0.051038212929287674
2011-12-01,3907.8,3082.65,2983.37,-0.12481084420102206,-0.12811555640124261,-0.04918960062305544
2012-01-01,4384.44,3598.71,3187.77,0.11508735377471702,0.15478583123909928,0.06626807873363738
2012-02-01,4983.68,3620.94,3339.02,0.12810666439343876,0.006158212725933865,0.04635573798133308
2012-03-01,4889.75,3250.52,3231.18,-0.0190273965309391,-0.10791867709492386,-0.03282995516388354
2012-04-01,4928.31,3139.7,3128.97,0.007854952661393355,-0.03468772958849442,-0.032143518683932726
2012-05-01,4305.28,2719.68,2767.94,-0.1351539536818347,-0.14361302762639294,-0.1226005156931631
2012-06-01,4417.34,2808.57,2920.25,0.02569552855950974,0.03216123068845533,0.05356586783375761
2012-07-01,4663.09,2736.22,2987.96,0.05414061354462696,-0.026098051132208866,0.022921651246440078
2012-08-01,4870.02,2733.35,3062.91,0.04341972534306038,-0.0010494427398874961,0.02477456416095869
2012-09-01,4652.97,2937.94,3144.65,-0.045592318473776317,0.07218069234284918,0.026337151740047915
2012-10-01,4601.79,2740,3132.25,-0.011060367150250272,-0.06975073508735363,-0.003951000057590193
2012-11-01,4669.88,2767.73,3133.21,0.01468801718096202,0.01006956924518132,3.0644198750451324e-4
2012-12-01,4973.47,2908.55,3306.49,0.0629844102035193,0.04962718556767598,0.05382916565099194
2013-01-01,5456.11,2918.6,3396.21,0.09261829600554528,0.0034493740386727367,0.026772900211053496
2013-02-01,5673.44,2688.26,3239.74,0.039059554082232495,-0.08220990507780535,-0.04716702432237341
2013-03-01,5554.5,2397.37,3178.59,-0.021187225670839638,-0.11452184101748841,-0.0190553774342046
2013-04-01,5525.21,2279.33,3012.77,-0.005287154308375008,-0.05049076302419486,-0.053577780879926706
2013-05-01,5672.37,2131.07,2944.58,0.026285764093143982,-0.06725733912706922,-0.02289372902446818
2013-06-01,5783.65,2003.73,3022.03,0.019427951444574987,-0.06161375739822894,0.025962598669701187
2013-07-01,5756.14,2067.28,3190.08,-0.00476786009350505,0.0312232899410132,0.05411720385039942
2013-08-01,5678.37,2102.15,3248.69,-0.013602891457699329,0.01672689696992169,0.01820584330902797
2013-09-01,5760.1,2165.41,3480.07,0.014290615950429242,0.029649089450759725,0.06880057036537934
2013-10-01,6003.42,2178.05,3555.37,0.04137447117155091,0.0058202611199869025,0.021406728075081816
2013-11-01,6170,2173.34,3425.91,0.0273695310775377,-0.0021648263379931976,-0.037092006747094786
2013-12-01,6245.95,2264.99,3491.14,0.012234415788269004,0.04130518916380321,0.01886120058650853
2014-01-01,5644.79,2264.71,3422.94,-0.10120025785880493,-1.2362849652536312e-4,-0.01972849953046918
2014-02-01,5537.98,2355.62,3458.02,-0.019103182516573725,0.0393572470403889,0.010196340023730599
2014-03-01,5354.84,2185.02,3280.62,-0.03362898849496432,-0.07517898063433659,-0.05266374201092994
2014-04-01,5377.98,2191.91,3216.82,0.0043120141499422004,0.00314832802494891,-0.019639134982972095
2014-05-01,5833.88,2356.03,3362.69,0.08136946317099891,0.07220468930610124,0.04434795496732136
2014-06-01,6168.96,2375.57,3573.22,0.05584796401724823,0.008259409536421458,0.06072590114587406
2014-07-01,5999.57,2479.99,3295.69,-0.027842466180201697,0.04301711921948481,-0.08085159582779156
2014-08-01,5893.09,2585.52,3382.6,-0.017907321897022044,0.041672120361212706,0.0260290903319369
2014-09-01,6182.25,2621.26,3443.36,0.04790180478312145,0.013728469928578235,0.01780309430933258
2014-10-01,6384.78,2806.52,3672.01,0.03223475025590261,0.0682901634881512,0.06429145719894436
2014-11-01,6487.86,3262.11,3838.54,0.016015705146687154,0.1504289435847852,0.04435288990270614
2014-12-01,5460.63,3457.62,3540.17,-0.17236857056599497,0.058206265839423565,-0.0809173373772829
