date,stock_market_return
1996-05-01,2.78
1996-06-01,-0.73
1996-07-01,-5.51
1996-08-01,3.18
1996-09-01,5.45
1996-10-01,1.29
1996-11-01,6.66
1996-12-01,-1.24
1997-01-01,5.41
1997-02-01,-0.09
1997-03-01,-4.59
1997-04-01,4.47
1997-05-01,7.22
1997-06-01,4.47
1997-07-01,7.74
1997-08-01,-3.69
1997-09-01,5.78
1997-10-01,-3.38
1997-11-01,3.38
1997-12-01,1.81
1998-01-01,0.58
1998-02-01,7.42
1998-03-01,5.15
1998-04-01,1.17
1998-05-01,-2.67
1998-06-01,3.60
1998-07-01,-2.02
1998-08-01,-15.62
1998-09-01,6.65
1998-10-01,7.30
1998-11-01,6.38
1998-12-01,6.53
1999-01-01,3.83
1999-02-01,-3.73
1999-03-01,3.91
1999-04-01,4.71
1999-05-01,-2.12
1999-06-01,5.17
1999-07-01,-3.11
1999-08-01,-0.98
1999-09-01,-2.38
1999-10-01,6.48
1999-11-01,3.77
1999-12-01,8.10
2000-01-01,-4.33
2000-02-01,2.89
2000-03-01,5.68
2000-04-01,-5.93
2000-05-01,-3.89
2000-06-01,5.08
2000-07-01,-2.00
2000-08-01,7.53
2000-09-01,-4.93
2000-10-01,-2.22
2000-11-01,-10.19
2000-12-01,1.68
2001-01-01,3.79
2001-02-01,-9.65
2001-03-01,-6.83
2001-04-01,8.32
2001-05-01,1.00
2001-06-01,-1.66
2001-07-01,-1.83
2001-08-01,-6.09
2001-09-01,-8.96
2001-10-01,2.70
2001-11-01,7.70
2001-12-01,1.76
2002-01-01,-1.30
2002-02-01,-2.17
2002-03-01,4.37
2002-04-01,-5.06
2002-05-01,-1.22
2002-06-01,-7.10
2002-07-01,-8.04
2002-08-01,0.64
2002-09-01,-10.20
2002-10-01,7.98
2002-11-01,6.08
2002-12-01,-5.65
2003-01-01,-2.47
2003-02-01,-1.79
2003-03-01,1.19
2003-04-01,8.28
2003-05-01,6.14
2003-06-01,1.52
2003-07-01,2.40
2003-08-01,2.40
2003-09-01,-1.16
2003-10-01,6.15
2003-11-01,1.42
2003-12-01,4.37
2004-01-01,2.22
2004-02-01,1.46
2004-03-01,-1.23
2004-04-01,-1.73
2004-05-01,1.24
2004-06-01,1.93
2004-07-01,-3.94
2004-08-01,0.18
2004-09-01,1.71
2004-10-01,1.53
2004-11-01,4.68
2004-12-01,3.58
2005-01-01,-2.59
2005-02-01,2.04
2005-03-01,-1.73
2005-04-01,-2.40
2005-05-01,3.89
2005-06-01,0.81
2005-07-01,4.16
2005-08-01,-0.90
2005-09-01,0.77
2005-10-01,-1.77
2005-11-01,3.92
2005-12-01,0.08
2006-01-01,3.38
2006-02-01,0.04
2006-03-01,1.84
2006-04-01,1.09
2006-05-01,-3.13
2006-06-01,0.05
2006-07-01,-0.37
2006-08-01,2.45
2006-09-01,2.25
2006-10-01,3.63
2006-11-01,2.12
2006-12-01,1.25
2007-01-01,1.82
2007-02-01,-1.58
2007-03-01,1.14
2007-04-01,3.93
2007-05-01,3.64
2007-06-01,-1.56
2007-07-01,-3.32
2007-08-01,1.36
2007-09-01,3.54
2007-10-01,2.11
2007-11-01,-4.46
2007-12-01,-0.60
2008-01-01,-6.12
2008-02-01,-2.96
2008-03-01,-0.77
2008-04-01,4.79
2008-05-01,2.05
2008-06-01,-8.26
2008-07-01,-0.60
2008-08-01,1.66
2008-09-01,-9.20
2008-10-01,-17.12
2008-11-01,-7.71
2008-12-01,1.77
2009-01-01,-8.09
2009-02-01,-10.13
2009-03-01,9.03
2009-04-01,10.18
2009-05-01,5.21
2009-06-01,0.43
2009-07-01,7.75
