"variable","specification","selectlags","lag_used","T_obs","tau_stat","cv_1pct","cv_5pct","cv_10pct","reject_1pct","reject_5pct","reject_10pct"
"rpo","trend","BIC",5,180,-2.7916,-3.99,-3.43,-3.13,FALSE,FALSE,FALSE
"ret_t","drift","BIC",5,180,-8.0187,-3.46,-2.88,-2.57,TRUE,TRUE,TRUE
"rea_t","drift","BIC",5,180,-2.4855,-3.46,-2.88,-2.57,FALSE,FALSE,FALSE
"delta_world","drift","BIC",5,180,-11.7843,-3.46,-2.88,-2.57,TRUE,TRUE,TRUE
"delta_rpo","drift","BIC",5,179,-6.8406,-3.46,-2.88,-2.57,TRUE,TRUE,TRUE
"delta_non_rus","drift","BIC",5,180,-11.733,-3.46,-2.88,-2.57,TRUE,TRUE,TRUE
"delta_rea","drift","BIC",5,179,-9.0014,-3.46,-2.88,-2.57,TRUE,TRUE,TRUE
"log_real_brent","trend","BIC",5,180,-2.5533,-3.99,-3.43,-3.13,FALSE,FALSE,FALSE
